City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Tukrah,LY,32.5341,20.5791,59.05,61,0,9.19,clear sky
292,Bulgan,MN,48.8125,103.5347,3.67,88,13,1.1,few clouds
293,Narsaq,GL,60.9167,-46.05,-6.3,66,4,7.0,clear sky
294,Dalvik,IS,65.9702,-18.5286,31.93,79,100,5.79,overcast clouds
295,Waw,SS,7.7029,27.9953,81.48,25,13,7.7,few clouds
296,Sechura,PE,-5.5569,-80.8222,66.92,86,100,7.34,overcast clouds
297,Bose,IT,45.4612,8.0137,48.2,93,100,2.42,overcast clouds
298,Miramar,US,25.9873,-80.2323,77.02,84,18,3.0,few clouds
299,Souillac,MU,-20.5167,57.5167,84.58,65,40,4.61,scattered clouds
300,Arroio Grande,BR,-32.2375,-53.0869,59.29,94,0,5.77,clear sky
301,Feuchtwangen,DE,49.1667,10.3333,40.33,97,100,4.85,overcast clouds
302,Bengbu,CN,32.9408,117.3608,49.48,39,0,3.15,clear sky
303,Burnie,AU,-41.0667,145.9167,57.9,85,100,5.66,overcast clouds
304,Faya,SA,18.3851,42.4509,61.32,61,92,1.59,overcast clouds
305,Sovetskoye,RU,52.2861,85.4131,20.62,84,99,4.52,overcast clouds
306,Richards Bay,ZA,-28.783,32.0377,81.95,57,5,10.42,clear sky
307,Mananara,MG,-16.1667,49.7667,84.0,59,58,5.01,broken clouds
308,Umm Lajj,SA,25.0213,37.2685,71.35,61,1,2.75,clear sky
309,Maceio,BR,-9.6658,-35.7353,74.64,94,40,2.3,scattered clouds
310,Samarai,PG,-10.6167,150.6667,83.93,74,100,8.63,light rain
311,Jishou,CN,28.3167,109.7167,51.51,56,53,2.77,broken clouds
312,Isangel,VU,-19.55,169.2667,81.46,77,13,4.9,few clouds
313,Vanavara,RU,60.34,102.2797,6.06,95,100,7.76,light snow
314,Karpogory,RU,64.0019,44.4451,3.7,98,99,4.56,overcast clouds
315,Cabo San Lucas,MX,22.8909,-109.9124,69.51,70,59,3.0,broken clouds
316,Dickinson,US,29.4608,-95.0513,74.16,91,100,10.36,overcast clouds
317,Palana,RU,59.1167,159.9667,21.78,65,100,25.95,overcast clouds
318,Shache,CN,38.4167,77.2406,34.02,26,0,5.08,clear sky
319,Shihezi,CN,44.3,86.0333,15.89,89,64,3.62,broken clouds
320,Mbala,ZM,-8.8402,31.3659,69.71,67,28,5.23,light rain
321,Korla,CN,41.7597,86.1469,26.04,39,1,9.86,clear sky
322,Caruray,PH,10.3094,119.0128,81.97,71,100,13.42,overcast clouds
323,Shingu,JP,33.7333,135.9833,47.91,46,0,11.01,clear sky
324,Pasighat,IN,28.0667,95.3333,73.06,37,1,4.07,clear sky
325,Marzuq,YE,14.4,46.4667,68.86,29,8,4.5,clear sky
326,Yulara,AU,-25.2406,130.9889,98.58,23,100,18.9,overcast clouds
327,Tuatapere,NZ,-46.1333,167.6833,65.12,70,100,3.36,overcast clouds
328,Carnarvon,AU,-24.8667,113.6333,84.09,67,9,23.51,clear sky
329,Ilhabela,BR,-23.7781,-45.3581,73.35,84,99,4.14,overcast clouds
330,Kajaani,FI,64.2273,27.7285,10.45,92,0,2.3,clear sky
331,Caravelas,BR,-17.7125,-39.2481,68.9,93,83,3.38,broken clouds
332,Tazovskiy,RU,67.4667,78.7,-24.2,98,100,10.22,overcast clouds
333,Arlit,NE,18.7369,7.3853,59.63,26,49,7.63,scattered clouds
334,Tiznit,MA,29.5833,-9.5,55.47,32,100,4.61,overcast clouds
335,Sabang,ID,5.8933,95.3214,79.84,79,100,13.69,overcast clouds
336,Kamina,CD,-8.7386,24.9906,70.5,86,28,3.09,light rain
337,Pathein,MM,16.7833,94.7333,86.14,35,24,6.58,few clouds
338,Kruisfontein,ZA,-34.0033,24.7314,86.88,30,0,8.63,clear sky
339,Bemidji,US,47.4736,-94.8803,13.77,85,100,0.0,fog
340,Fez,MA,34.0372,-4.9998,44.85,61,0,9.22,clear sky
341,Newport,GB,51.5877,-2.9984,49.82,95,100,22.19,overcast clouds
342,Mount Isa,AU,-20.7333,139.5,83.97,65,100,10.36,overcast clouds
343,Skelleftea,SE,64.7507,20.9528,7.16,100,6,4.61,clear sky
344,Pitimbu,BR,-7.4706,-34.8086,77.59,82,100,10.56,overcast clouds
345,Zhigansk,RU,66.7697,123.3711,-21.98,97,100,16.98,overcast clouds
